Price,Adj Close,Close,High,Low,Open,Volume,SMA10,SMA20,Date
Ticker,AMD,AMD,AMD,AMD,AMD,AMD,,,
Date,,,,,,,,,
2024-07-03,163.89999389648438,163.89999389648438,165.25999450683594,162.50999450683594,164.1999969482422,26980900,,,2024-07-03
2024-07-05,171.89999389648438,171.89999389648438,174.0399932861328,165.67999267578125,165.97000122070312,61857100,,,2024-07-05
2024-07-08,178.69000244140625,178.69000244140625,178.9499969482422,173.22000122070312,174.89999389648438,60223400,,,2024-07-08
2024-07-09,177.10000610351562,177.10000610351562,180.41000366210938,174.6999969482422,177.97000122070312,43395600,,,2024-07-09
2024-07-10,183.9600067138672,183.9600067138672,187.27999877929688,177.8000030517578,179.99000549316406,90247000,,,2024-07-10
2024-07-11,181.94000244140625,181.94000244140625,187.11000061035156,177.25,184.07000732421875,59231400,,,2024-07-11
2024-07-12,181.61000061035156,181.61000061035156,186.99000549316406,179.69000244140625,182.02000427246094,50827400,,,2024-07-12
2024-07-15,179.8300018310547,179.8300018310547,185.5,178.5399932861328,184.4499969482422,42202700,,,2024-07-15
2024-07-16,177.5500030517578,177.5500030517578,179.75,174.52999877929688,179.69000244140625,40633100,,,2024-07-16
2024-07-17,159.42999267578125,159.42999267578125,169.8000030517578,159.3699951171875,169.8000030517578,76954200,175.59100036621095,,2024-07-17
2024-07-18,155.77000427246094,155.77000427246094,163.41000366210938,153.1999969482422,163.41000366210938,69420300,174.7780014038086,,2024-07-18
2024-07-19,151.5800018310547,151.5800018310547,155.80999755859375,150.6199951171875,154.86000061035156,47513100,172.74600219726562,,2024-07-19
2024-07-22,155.8699951171875,155.8699951171875,156.6999969482422,152.5399932861328,154.22999572753906,43912500,170.46400146484376,,2024-07-22
2024-07-23,154.0,154.0,157.0500030517578,153.8000030517578,154.9499969482422,31950600,168.15400085449218,,2024-07-23
2024-07-24,144.6300048828125,144.6300048828125,153.67999267578125,144.52999877929688,152.72000122070312,49203100,164.22100067138672,,2024-07-24
2024-07-25,138.32000732421875,138.32000732421875,144.75,136.80999755859375,144.07000732421875,60578500,159.85900115966797,,2024-07-25
2024-07-26,139.99000549316406,139.99000549316406,141.2899932861328,138.27000427246094,140.32000732421875,49435800,155.6970016479492,,2024-07-26
2024-07-29,139.75,139.75,144.58999633789062,138.75,141.19000244140625,47447200,151.68900146484376,,2024-07-29
2024-07-30,138.44000244140625,138.44000244140625,141.6999969482422,134.0500030517578,139.8800048828125,68801700,147.7780014038086,,2024-07-30
2024-07-31,144.47999572753906,144.47999572753906,153.60000610351562,140.02999877929688,150.72999572753906,114306800,146.2830017089844,160.93700103759767,2024-07-31
2024-08-01,132.5399932861328,132.5399932861328,147.2899932861328,130.24000549316406,145.0,94731900,143.96000061035156,159.36900100708007,2024-08-01
2024-08-02,132.5,132.5,137.10000610351562,131.3300018310547,133.5,78562000,142.0520004272461,157.39900131225585,2024-08-02
2024-08-05,134.82000732421875,134.82000732421875,139.13999938964844,121.83000183105469,122.16000366210938,76089400,139.9470016479492,155.20550155639648,2024-08-05
2024-08-06,130.17999267578125,130.17999267578125,136.44000244140625,129.10000610351562,135.14999389648438,64455600,137.56500091552735,152.85950088500977,2024-08-06
2024-08-07,128.6699981689453,128.6699981689453,136.24000549316406,128.3699951171875,133.75,54676500,135.96900024414063,150.09500045776366,2024-08-07
2024-08-08,136.32000732421875,136.32000732421875,136.47999572753906,128.94000244140625,131.97000122070312,49037500,135.7690002441406,147.8140007019043,2024-08-08
2024-08-09,134.27000427246094,134.27000427246094,135.5,132.44000244140625,134.69000244140625,40583000,135.1970001220703,145.44700088500977,2024-08-09
2024-08-12,136.77000427246094,136.77000427246094,137.99000549316406,133.22999572753906,134.44000244140625,39724300,134.8990005493164,143.29400100708008,2024-08-12
2024-08-13,141.1300048828125,141.1300048828125,141.19000244140625,137.52000427246094,138.1199951171875,42218000,135.16800079345703,141.4730010986328,2024-08-13
2024-08-14,140.75,140.75,143.25,137.63999938964844,143.0,35506400,134.7950012207031,140.53900146484375,2024-08-14
2024-08-15,147.36000061035156,147.36000061035156,147.9600067138672,141.80999755859375,143.0,43582400,136.277001953125,140.11850128173828,2024-08-15
2024-08-16,148.55999755859375,148.55999755859375,149.3699951171875,145.1999969482422,145.6999969482422,31123900,137.88300170898438,139.96750106811524,2024-08-16
2024-08-19,155.27999877929688,155.27999877929688,155.3699951171875,147.72000122070312,148.42999267578125,60766900,139.9290008544922,139.9380012512207,2024-08-19
2024-08-20,156.39999389648438,156.39999389648438,162.0399932861328,154.50999450683594,156.49000549316406,76851200,142.5510009765625,140.05800094604493,2024-08-20
